num_fila,wall_time-s,user_time-s,sys_time-s,cpu_total-s,percent_cpu,mem_rss-kb
6,0.006067,0.000810,0.005257,0.006067,13.35,40
5,0.005372,0.000546,0.004826,0.005372,10.16,40
2,0.004837,0.000298,0.004539,0.004837,6.16,40
6,0.006077,0.000755,0.005322,0.006077,12.42,40
3,0.005568,0.000387,0.005181,0.005568,6.94,40
2,0.004781,0.000272,0.004510,0.004781,5.68,40
5,0.005008,0.000536,0.004472,0.005008,10.70,40
2,0.004698,0.000297,0.004401,0.004698,6.32,40
3,0.004990,0.000361,0.004629,0.004990,7.24,40
2,0.004402,0.000236,0.004166,0.004402,5.36,40
5,0.004709,0.000581,0.004128,0.004709,12.34,40
2,0.004892,0.000251,0.004641,0.004892,5.12,40
5,0.005118,0.000591,0.004527,0.005118,11.54,40
5,0.005256,0.000541,0.004716,0.005256,10.29,40
6,0.005045,0.000620,0.004425,0.005045,12.29,40
3,0.004625,0.000358,0.004268,0.004625,7.73,40
6,0.005286,0.000674,0.004612,0.005286,12.76,40
4,0.004870,0.000463,0.004407,0.004870,9.50,40
3,0.004755,0.000351,0.004404,0.004755,7.38,40
3,0.005089,0.000371,0.004718,0.005089,7.28,40
2,0.004345,0.000223,0.004122,0.004345,5.14,40
2,0.004673,0.000325,0.004348,0.004673,6.96,40
5,0.005697,0.000677,0.005020,0.005697,11.88,40
3,0.005636,0.000363,0.005274,0.005636,6.44,40
5,0.005609,0.000632,0.004977,0.005609,11.27,40
5,0.005999,0.000743,0.005256,0.005999,12.38,40
2,0.005497,0.000294,0.005203,0.005497,5.34,40
5,0.005665,0.000587,0.005078,0.005665,10.36,40
3,0.005802,0.000554,0.005248,0.005802,9.55,40
3,0.005882,0.000433,0.005449,0.005882,7.36,40
2,0.005548,0.000391,0.005157,0.005548,7.05,40
5,0.005683,0.000603,0.005079,0.005683,10.62,40
2,0.004807,0.000255,0.004553,0.004807,5.30,40
4,0.004920,0.000469,0.004451,0.004920,9.53,40
